946 10000
XOR 1 2
XOR 2 1
SET 2 196
AND 1 2
OR 2 1
OR 2 1
OR 1 2
XOR 1 2
XOR 2 1
OR 2 1
OR 2 1
FLIP 1 96
OR 2 1
SET 2 87
AND 1 2
AND 1 2
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
AND 2 1
OR 1 2
AND 2 1
OR 2 1
XOR 2 1
XOR 2 1
AND 2 1
AND 1 2
FLIP 1 130
FLIP 1 829
AND 1 2
OR 1 2
FLIP 1 566
AND 1 2
XOR 2 1
XOR 1 2
AND 2 1
FLIP 1 605
FLIP 1 711
AND 2 1
XOR 2 1
AND 2 1
FLIP 1 814
OR 2 1
OR 1 2
XOR 2 1
FLIP 2 873
XOR 1 2
XOR 2 1
XOR 1 2
SET 1 67
OR 1 2
XOR 2 1
FLIP 2 693
OR 1 2
XOR 2 1
AND 2 1
SET 1 326
XOR 1 2
AND 1 2
FLIP 2 873
SET 2 29
FLIP 2 337
OR 1 2
FLIP 2 28
AND 2 1
SET 2 290
XOR 1 2
OR 1 2
FLIP 1 631
SET 2 349
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 140
SET 1 809
OR 1 2
FLIP 2 833
XOR 1 2
SET 2 374
SET 1 320
FLIP 2 868
OR 2 1
FLIP 1 369
FLIP 1 823
XOR 1 2
FLIP 2 438
OR 2 1
XOR 2 1
XOR 1 2
XOR 2 1
XOR 2 1
OR 1 2
AND 1 2
AND 1 2
AND 1 2
XOR 2 1
FLIP 1 307
XOR 2 1
FLIP 2 734
AND 1 2
FLIP 1 34
AND 1 2
SET 1 584
XOR 1 2
FLIP 1 313
SET 2 37
OR 1 2
AND 2 1
XOR 2 1
AND 1 2
XOR 1 2
SET 1 750
XOR 2 1
FLIP 1 502
AND 2 1
SET 2 190
AND 1 2
FLIP 2 868
OR 1 2
SET 2 306
FLIP 1 62
OR 2 1
AND 2 1
AND 1 2
SET 2 107
AND 1 2
AND 2 1
XOR 2 1
OR 1 2
OR 2 1
AND 1 2
OR 1 2
XOR 2 1
FLIP 1 846
OR 1 2
AND 1 2
XOR 2 1
SET 2 792
XOR 2 1
FLIP 1 862
FLIP 2 733
SET 2 919
XOR 2 1
AND 1 2
AND 2 1
AND 2 1
AND 1 2
SET 1 908
AND 1 2
OR 2 1
AND 1 2
OR 1 2
OR 2 1
XOR 2 1
AND 1 2
FLIP 1 258
XOR 2 1
OR 2 1
FLIP 2 896
AND 2 1
XOR 2 1
AND 1 2
AND 1 2
FLIP 1 264
AND 1 2
OR 1 2
FLIP 2 813
OR 1 2
FLIP 2 36
OR 2 1
SET 2 671
XOR 2 1
OR 1 2
SET 1 467
FLIP 2 814
AND 1 2
AND 1 2
SET 2 603
AND 2 1
FLIP 2 546
SET 2 88
FLIP 1 62
OR 2 1
SET 2 428
OR 2 1
FLIP 2 915
AND 2 1
XOR 2 1
XOR 2 1
OR 2 1
OR 2 1
XOR 2 1
AND 2 1
XOR 2 1
OR 2 1
SET 2 171
FLIP 1 751
XOR 1 2
AND 2 1
AND 2 1
AND 2 1
SET 2 309
FLIP 1 454
AND 1 2
SET 2 565
SET 1 59
SET 1 499
AND 1 2
FLIP 2 833
AND 1 2
OR 2 1
SET 1 633
AND 2 1
FLIP 1 195
SET 2 796
AND 1 2
SET 1 940
OR 2 1
XOR 1 2
SET 1 470
OR 1 2
SET 1 329
SET 1 593
FLIP 1 451
XOR 1 2
FLIP 1 898
XOR 2 1
FLIP 2 735
XOR 2 1
XOR 2 1
SET 1 943
FLIP 1 144
OR 1 2
AND 2 1
XOR 2 1
AND 1 2
XOR 1 2
AND 1 2
OR 2 1
FLIP 1 825
FLIP 1 673
XOR 2 1
OR 2 1
AND 1 2
OR 1 2
XOR 2 1
XOR 2 1
OR 2 1
AND 1 2
SET 1 382
SET 2 221
SET 1 862
FLIP 2 267
OR 2 1
OR 1 2
FLIP 1 298
SET 1 653
FLIP 1 397
SET 2 113
FLIP 2 104
SET 2 111
OR 1 2
AND 1 2
FLIP 2 773
FLIP 2 442
OR 1 2
SET 1 691
FLIP 1 493
OR 1 2
XOR 1 2
AND 1 2
SET 1 711
AND 2 1
SET 2 146
OR 2 1
XOR 1 2
AND 2 1
XOR 1 2
AND 2 1
OR 2 1
XOR 2 1
AND 2 1
FLIP 2 580
SET 2 887
SET 2 764
XOR 2 1
FLIP 2 560
SET 2 597
AND 1 2
AND 2 1
AND 1 2
SET 1 597
AND 2 1
XOR 1 2
SET 1 384
FLIP 1 287
OR 2 1
OR 1 2
SET 1 144
AND 2 1
XOR 1 2
OR 2 1
XOR 1 2
FLIP 2 361
OR 2 1
AND 2 1
FLIP 1 489
AND 2 1
OR 1 2
FLIP 2 15
OR 1 2
XOR 1 2
SET 2 151
OR 2 1
AND 1 2
OR 2 1
SET 1 424
XOR 2 1
FLIP 1 659
OR 1 2
FLIP 2 607
FLIP 2 111
XOR 2 1
AND 2 1
FLIP 1 64
SET 1 250
XOR 1 2
FLIP 1 658
XOR 1 2
FLIP 2 875
XOR 2 1
OR 1 2
FLIP 2 570
OR 1 2
AND 1 2
XOR 2 1
XOR 1 2
SET 2 635
AND 2 1
SET 1 289
OR 1 2
OR 2 1
SET 1 863
XOR 2 1
FLIP 1 59
XOR 1 2
XOR 1 2
OR 1 2
FLIP 1 607
FLIP 1 540
OR 1 2
AND 2 1
OR 1 2
AND 2 1
AND 1 2
SET 1 744
AND 1 2
OR 2 1
XOR 1 2
AND 1 2
OR 1 2
OR 2 1
AND 1 2
OR 1 2
FLIP 2 837
AND 2 1
AND 2 1
OR 2 1
SET 2 23
SET 2 468
AND 1 2
FLIP 2 521
FLIP 2 142
SET 2 565
OR 1 2
XOR 2 1
XOR 1 2
SET 2 724
AND 1 2
FLIP 1 583
OR 1 2
SET 2 797
FLIP 1 6
FLIP 2 620
OR 2 1
OR 2 1
XOR 2 1
SET 2 622
SET 1 399
OR 2 1
XOR 2 1
AND 1 2
SET 1 458
AND 1 2
OR 2 1
FLIP 2 731
AND 2 1
FLIP 1 886
SET 1 337
OR 1 2
OR 1 2
XOR 2 1
OR 1 2
SET 2 441
XOR 1 2
FLIP 1 141
AND 1 2
AND 2 1
XOR 2 1
XOR 2 1
SET 1 744
XOR 2 1
XOR 1 2
XOR 1 2
AND 2 1
XOR 2 1
FLIP 2 783
AND 1 2
XOR 2 1
OR 2 1
XOR 1 2
FLIP 1 499
AND 2 1
AND 2 1
AND 2 1
SET 1 491
SET 1 50
AND 1 2
SET 2 254
OR 1 2
FLIP 2 858
AND 1 2
AND 1 2
SET 1 876
FLIP 2 914
FLIP 1 473
AND 1 2
SET 1 322
SET 1 215
FLIP 2 531
OR 1 2
SET 1 692
FLIP 1 858
SET 2 841
SET 1 23
XOR 1 2
AND 2 1
AND 1 2
XOR 2 1
XOR 2 1
FLIP 2 402
XOR 1 2
OR 2 1
SET 1 269
SET 1 549
FLIP 2 653
OR 1 2
OR 1 2
AND 1 2
OR 2 1
SET 1 391
AND 1 2
SET 1 146
XOR 2 1
OR 2 1
XOR 2 1
OR 2 1
AND 1 2
AND 1 2
OR 1 2
OR 2 1
AND 2 1
FLIP 1 491
SET 2 355
SET 1 623
SET 2 856
AND 2 1
AND 2 1
XOR 2 1
XOR 1 2
SET 2 405
FLIP 1 572
XOR 1 2
SET 1 526
XOR 2 1
OR 2 1
SET 1 549
XOR 2 1
OR 2 1
XOR 2 1
SET 2 365
OR 2 1
FLIP 2 470
OR 2 1
AND 2 1
SET 2 330
FLIP 1 237
OR 1 2
XOR 1 2
FLIP 1 606
OR 2 1
SET 1 599
XOR 1 2
FLIP 2 569
OR 2 1
AND 2 1
OR 2 1
XOR 2 1
OR 2 1
OR 1 2
OR 2 1
AND 2 1
SET 1 230
SET 2 744
AND 1 2
FLIP 1 176
SET 1 375
FLIP 1 189
AND 1 2
OR 2 1
SET 1 388
OR 1 2
SET 2 221
XOR 2 1
FLIP 2 108
OR 1 2
XOR 1 2
OR 2 1
FLIP 2 274
OR 2 1
XOR 1 2
AND 1 2
AND 2 1
SET 2 574
FLIP 1 766
FLIP 2 704
FLIP 2 332
SET 1 256
AND 1 2
OR 1 2
AND 1 2
AND 1 2
SET 2 358
OR 2 1
AND 1 2
XOR 2 1
XOR 1 2
FLIP 1 51
XOR 2 1
OR 1 2
XOR 2 1
XOR 2 1
FLIP 1 807
AND 1 2
OR 2 1
XOR 2 1
FLIP 1 327
XOR 1 2
AND 1 2
XOR 1 2
OR 1 2
AND 2 1
XOR 2 1
XOR 1 2
XOR 1 2
XOR 2 1
XOR 2 1
SET 2 904
AND 2 1
SET 2 224
SET 2 558
SET 1 493
OR 2 1
FLIP 2 673
OR 1 2
OR 2 1
OR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
AND 1 2
FLIP 2 845
XOR 2 1
AND 1 2
AND 2 1
OR 1 2
SET 1 253
OR 2 1
AND 1 2
XOR 2 1
SET 2 787
FLIP 1 238
XOR 2 1
AND 2 1
OR 1 2
OR 2 1
AND 2 1
XOR 1 2
OR 2 1
OR 1 2
OR 1 2
XOR 2 1
SET 1 795
AND 2 1
FLIP 2 872
FLIP 1 902
FLIP 2 807
SET 2 383
FLIP 2 940
FLIP 2 230
SET 1 517
XOR 2 1
XOR 1 2
AND 1 2
OR 1 2
AND 1 2
AND 1 2
OR 2 1
AND 1 2
OR 2 1
XOR 2 1
AND 1 2
OR 2 1
FLIP 1 259
FLIP 1 855
AND 2 1
OR 1 2
FLIP 1 466
XOR 1 2
SET 2 594
FLIP 2 540
FLIP 2 503
FLIP 1 534
OR 1 2
XOR 1 2
FLIP 2 779
AND 1 2
AND 1 2
OR 1 2
XOR 1 2
FLIP 2 593
OR 2 1
AND 1 2
SET 2 193
AND 2 1
AND 1 2
OR 2 1
OR 1 2
OR 2 1
FLIP 2 457
XOR 2 1
FLIP 1 862
FLIP 1 524
OR 2 1
XOR 2 1
SET 2 819
XOR 1 2
SET 2 3
AND 1 2
FLIP 1 587
SET 1 882
FLIP 2 410
AND 1 2
AND 2 1
OR 2 1
OR 2 1
OR 2 1
OR 2 1
OR 1 2
FLIP 2 578
AND 2 1
XOR 2 1
XOR 2 1
SET 1 26
XOR 1 2
XOR 1 2
SET 1 142
XOR 1 2
XOR 1 2
FLIP 1 511
FLIP 1 897
SET 1 61
AND 1 2
SET 2 454
FLIP 2 380
AND 2 1
XOR 2 1
AND 2 1
OR 1 2
AND 2 1
FLIP 2 806
AND 1 2
AND 1 2
SET 2 744
XOR 1 2
FLIP 2 269
AND 1 2
SET 1 115
XOR 2 1
SET 2 550
OR 2 1
AND 2 1
AND 2 1
XOR 1 2
FLIP 1 667
SET 2 699
AND 1 2
AND 1 2
AND 1 2
XOR 1 2
SET 2 421
AND 2 1
FLIP 2 364
XOR 2 1
FLIP 1 75
SET 2 45
OR 1 2
XOR 2 1
FLIP 1 359
SET 1 838
SET 2 718
SET 2 124
FLIP 2 49
FLIP 1 103
XOR 2 1
AND 2 1
XOR 2 1
SET 2 417
OR 1 2
XOR 2 1
AND 1 2
SET 2 528
AND 1 2
AND 2 1
XOR 1 2
SET 1 515
SET 1 200
XOR 1 2
SET 1 590
AND 2 1
OR 2 1
SET 2 364
AND 2 1
OR 1 2
OR 2 1
XOR 1 2
FLIP 2 740
AND 1 2
FLIP 2 99
AND 2 1
SET 2 443
SET 2 808
OR 2 1
FLIP 1 499
OR 1 2
FLIP 1 413
XOR 1 2
OR 2 1
XOR 1 2
OR 2 1
FLIP 2 253
OR 2 1
AND 2 1
AND 1 2
OR 2 1
FLIP 1 568
FLIP 1 526
AND 2 1
OR 1 2
FLIP 2 726
AND 1 2
XOR 1 2
FLIP 1 605
OR 2 1
SET 1 481
AND 2 1
SET 2 186
OR 2 1
AND 1 2
AND 1 2
XOR 2 1
AND 1 2
SET 2 525
FLIP 1 14
OR 2 1
OR 1 2
XOR 2 1
OR 2 1
OR 1 2
SET 1 183
OR 2 1
SET 1 811
XOR 2 1
SET 1 627
AND 2 1
AND 2 1
XOR 1 2
OR 2 1
SET 2 762
FLIP 2 929
SET 2 38
SET 2 365
FLIP 2 244
OR 1 2
SET 1 231
SET 2 393
XOR 2 1
OR 2 1
SET 1 423
FLIP 1 456
AND 1 2
XOR 2 1
XOR 1 2
AND 1 2
FLIP 2 265
SET 1 287
FLIP 1 853
AND 2 1
AND 2 1
OR 2 1
AND 1 2
AND 2 1
XOR 2 1
OR 2 1
XOR 2 1
OR 2 1
FLIP 1 903
OR 2 1
FLIP 1 826
SET 2 61
XOR 2 1
AND 1 2
XOR 1 2
AND 1 2
SET 2 71
OR 2 1
XOR 1 2
AND 1 2
XOR 2 1
OR 2 1
AND 2 1
XOR 2 1
AND 1 2
SET 2 184
FLIP 2 165
OR 1 2
FLIP 1 163
XOR 1 2
SET 2 244
SET 1 813
AND 1 2
AND 1 2
SET 2 683
XOR 1 2
SET 2 910
FLIP 1 185
SET 1 575
SET 2 251
SET 2 580
FLIP 1 67
SET 1 760
AND 2 1
SET 1 766
AND 2 1
XOR 2 1
SET 1 121
FLIP 1 789
SET 2 65
FLIP 1 503
SET 1 894
XOR 1 2
AND 2 1
XOR 1 2
XOR 2 1
XOR 2 1
XOR 1 2
SET 2 393
AND 2 1
FLIP 2 21
AND 1 2
AND 2 1
XOR 2 1
AND 1 2
XOR 2 1
XOR 1 2
XOR 1 2
OR 2 1
AND 2 1
OR 1 2
AND 1 2
FLIP 2 237
AND 2 1
FLIP 1 853
SET 2 470
AND 2 1
OR 2 1
AND 2 1
OR 1 2
OR 1 2
FLIP 1 212
XOR 2 1
XOR 2 1
FLIP 2 158
AND 1 2
SET 2 915
XOR 2 1
SET 1 672
OR 2 1
OR 2 1
SET 1 449
OR 2 1
SET 2 171
XOR 1 2
OR 1 2
FLIP 1 840
AND 1 2
XOR 1 2
FLIP 1 894
OR 2 1
OR 2 1
XOR 1 2
FLIP 1 919
XOR 2 1
OR 2 1
SET 1 74
OR 1 2
OR 2 1
SET 1 453
SET 1 370
SET 2 464
OR 1 2
SET 2 510
SET 2 453
AND 2 1
XOR 2 1
AND 2 1
XOR 2 1
AND 1 2
FLIP 1 7
OR 1 2
XOR 1 2
OR 1 2
XOR 2 1
XOR 2 1
AND 2 1
AND 2 1
SET 2 714
FLIP 2 327
OR 1 2
AND 2 1
SET 1 495
XOR 2 1
XOR 2 1
AND 2 1
OR 2 1
FLIP 2 451
XOR 2 1
AND 1 2
SET 2 875
XOR 2 1
AND 2 1
XOR 1 2
OR 2 1
AND 1 2
AND 2 1
AND 1 2
SET 1 816
AND 1 2
OR 1 2
AND 1 2
FLIP 1 323
OR 1 2
OR 2 1
AND 2 1
OR 2 1
SET 2 346
SET 2 105
SET 1 153
OR 1 2
XOR 2 1
SET 2 118
FLIP 1 437
SET 1 932
XOR 2 1
AND 2 1
FLIP 2 808
AND 2 1
FLIP 2 68
FLIP 2 306
SET 1 210
FLIP 1 656
FLIP 2 114
SET 1 559
OR 2 1
XOR 2 1
XOR 1 2
FLIP 2 702
SET 2 376
SET 2 798
XOR 1 2
OR 2 1
AND 2 1
XOR 1 2
XOR 2 1
OR 2 1
SET 2 201
OR 2 1
XOR 1 2
OR 2 1
SET 2 201
FLIP 2 370
XOR 1 2
AND 2 1
FLIP 2 145
AND 2 1
AND 1 2
FLIP 2 784
OR 1 2
SET 2 660
SET 2 899
SET 1 273
AND 2 1
FLIP 1 505
XOR 1 2
FLIP 2 478
SET 1 802
FLIP 1 91
FLIP 1 314
SET 1 14
XOR 1 2
XOR 2 1
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
FLIP 1 213
SET 1 942
FLIP 1 940
OR 1 2
SET 1 808
AND 1 2
FLIP 2 357
OR 2 1
FLIP 1 184
AND 2 1
FLIP 1 917
AND 2 1
XOR 2 1
XOR 1 2
AND 2 1
OR 1 2
XOR 2 1
SET 2 231
AND 2 1
XOR 2 1
AND 1 2
SET 2 388
AND 2 1
FLIP 1 49
FLIP 2 904
FLIP 2 438
OR 1 2
XOR 2 1
AND 2 1
XOR 1 2
FLIP 2 369
AND 2 1
OR 1 2
FLIP 1 184
OR 2 1
OR 2 1
FLIP 2 870
OR 2 1
OR 2 1
OR 2 1
FLIP 1 207
AND 1 2
SET 2 596
SET 2 917
FLIP 1 390
FLIP 2 509
OR 1 2
OR 1 2
AND 2 1
XOR 1 2
OR 2 1
AND 1 2
XOR 1 2
AND 2 1
AND 1 2
SET 1 438
OR 2 1
XOR 1 2
FLIP 2 731
XOR 1 2
XOR 2 1
OR 1 2
FLIP 1 943
FLIP 2 335
FLIP 2 125
AND 2 1
SET 2 88
SET 1 813
FLIP 2 653
FLIP 2 293
FLIP 1 853
OR 1 2
AND 2 1
FLIP 1 134
FLIP 2 474
SET 1 221
FLIP 2 550
OR 2 1
SET 1 312
XOR 1 2
FLIP 2 527
AND 2 1
OR 2 1
XOR 1 2
AND 2 1
OR 1 2
SET 1 383
XOR 1 2
SET 2 639
OR 1 2
OR 1 2
SET 1 816
XOR 2 1
XOR 2 1
OR 2 1
AND 2 1
SET 1 563
SET 1 441
AND 1 2
AND 2 1
FLIP 1 622
SET 2 636
FLIP 2 43
OR 2 1
FLIP 2 70
AND 2 1
AND 1 2
OR 2 1
FLIP 1 509
OR 2 1
AND 2 1
XOR 1 2
SET 1 896
XOR 1 2
FLIP 1 890
AND 2 1
SET 1 246
OR 2 1
XOR 2 1
XOR 2 1
FLIP 2 842
OR 1 2
OR 2 1
AND 1 2
FLIP 1 695
XOR 2 1
XOR 2 1
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 869
AND 1 2
XOR 1 2
XOR 2 1
OR 2 1
SET 2 63
FLIP 1 115
FLIP 2 626
XOR 1 2
XOR 2 1
OR 2 1
XOR 1 2
SET 2 197
SET 1 90
SET 2 714
OR 2 1
OR 1 2
FLIP 1 293
FLIP 1 157
XOR 2 1
SET 1 686
OR 1 2
AND 2 1
XOR 2 1
SET 2 596
SET 2 320
SET 2 536
AND 2 1
AND 2 1
SET 2 421
FLIP 2 98
AND 1 2
FLIP 2 623
OR 2 1
XOR 1 2
AND 1 2
OR 1 2
OR 1 2
XOR 2 1
SET 1 726
XOR 1 2
SET 1 607
FLIP 1 762
OR 2 1
FLIP 2 658
SET 1 618
OR 2 1
AND 2 1
SET 2 499
FLIP 1 930
SET 2 835
FLIP 2 449
SET 1 12
XOR 1 2
AND 1 2
OR 2 1
OR 1 2
XOR 2 1
SET 1 767
OR 1 2
AND 1 2
SET 2 68
XOR 1 2
OR 2 1
AND 1 2
SET 1 159
OR 2 1
FLIP 1 654
AND 2 1
SET 1 690
AND 1 2
XOR 1 2
AND 2 1
SET 1 937
FLIP 1 522
AND 1 2
FLIP 2 650
SET 1 481
SET 1 818
SET 2 241
XOR 2 1
XOR 2 1
AND 1 2
SET 1 4
OR 1 2
OR 2 1
FLIP 1 71
XOR 2 1
OR 1 2
XOR 1 2
OR 2 1
XOR 2 1
SET 1 427
SET 1 641
OR 2 1
OR 2 1
AND 2 1
OR 2 1
SET 1 617
SET 2 841
SET 1 76
SET 2 696
XOR 1 2
XOR 1 2
AND 1 2
FLIP 2 868
XOR 2 1
OR 2 1
FLIP 2 772
XOR 2 1
AND 1 2
OR 2 1
AND 1 2
OR 2 1
AND 2 1
SET 1 902
FLIP 2 347
AND 1 2
FLIP 1 482
SET 2 402
FLIP 2 708
XOR 2 1
AND 1 2
XOR 1 2
XOR 1 2
AND 1 2
SET 2 819
AND 2 1
XOR 2 1
XOR 2 1
SET 1 204
FLIP 2 788
AND 1 2
SET 2 298
SET 1 722
OR 2 1
FLIP 1 202
SET 1 15
SET 2 705
OR 1 2
XOR 2 1
AND 1 2
FLIP 2 112
SET 2 357
FLIP 2 629
OR 1 2
FLIP 2 800
XOR 2 1
OR 1 2
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
AND 2 1
AND 1 2
OR 2 1
AND 2 1
AND 2 1
SET 2 15
FLIP 1 763
FLIP 2 873
SET 2 718
XOR 2 1
XOR 2 1
XOR 2 1
SET 2 814
AND 1 2
SET 2 568
XOR 2 1
OR 1 2
XOR 1 2
OR 1 2
FLIP 1 632
XOR 2 1
AND 2 1
AND 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 549
XOR 2 1
OR 1 2
FLIP 2 107
XOR 1 2
FLIP 2 733
AND 2 1
XOR 1 2
OR 2 1
SET 2 713
OR 1 2
OR 1 2
FLIP 2 103
FLIP 1 744
SET 1 237
XOR 1 2
FLIP 1 166
FLIP 1 525
OR 1 2
SET 1 934
FLIP 1 802
XOR 2 1
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 610
SET 2 326
FLIP 2 423
FLIP 2 653
OR 2 1
AND 1 2
OR 2 1
OR 2 1
SET 1 558
FLIP 1 446
SET 1 861
FLIP 1 872
XOR 1 2
FLIP 1 322
XOR 2 1
SET 2 43
XOR 2 1
AND 2 1
XOR 1 2
OR 1 2
FLIP 1 540
XOR 1 2
AND 1 2
AND 1 2
SET 2 850
AND 2 1
FLIP 1 524
SET 1 25
OR 1 2
AND 2 1
SET 1 263
SET 2 574
FLIP 1 554
XOR 1 2
OR 2 1
OR 1 2
AND 1 2
XOR 1 2
XOR 1 2
AND 2 1
FLIP 1 797
AND 1 2
AND 2 1
XOR 1 2
FLIP 2 338
AND 1 2
XOR 1 2
SET 1 841
SET 2 891
OR 2 1
XOR 1 2
AND 1 2
XOR 2 1
AND 2 1
OR 1 2
SET 1 602
OR 1 2
AND 2 1
FLIP 2 276
XOR 1 2
FLIP 2 259
SET 1 859
OR 1 2
FLIP 2 525
AND 2 1
SET 1 622
OR 2 1
FLIP 1 7
SET 1 563
SET 2 774
XOR 2 1
AND 2 1
SET 2 531
FLIP 2 920
AND 1 2
XOR 1 2
FLIP 2 581
OR 2 1
OR 2 1
FLIP 2 855
XOR 1 2
FLIP 2 366
SET 1 940
SET 2 487
SET 2 30
XOR 1 2
FLIP 1 100
FLIP 2 787
OR 1 2
FLIP 1 895
FLIP 2 135
SET 2 589
OR 1 2
AND 1 2
OR 1 2
AND 2 1
FLIP 1 56
XOR 1 2
OR 1 2
OR 2 1
AND 2 1
OR 2 1
AND 1 2
XOR 2 1
SET 1 54
XOR 2 1
OR 1 2
FLIP 1 814
AND 1 2
XOR 2 1
XOR 1 2
SET 2 649
SET 2 816
FLIP 2 421
AND 2 1
OR 1 2
OR 2 1
FLIP 1 716
AND 1 2
FLIP 1 287
SET 1 754
OR 1 2
SET 2 776
SET 2 59
AND 1 2
OR 1 2
SET 2 266
OR 1 2
XOR 1 2
AND 2 1
OR 2 1
OR 1 2
FLIP 1 272
FLIP 1 675
AND 1 2
OR 2 1
SET 2 934
XOR 1 2
OR 1 2
AND 1 2
OR 1 2
FLIP 1 455
SET 1 847
OR 2 1
FLIP 2 464
XOR 1 2
AND 2 1
FLIP 2 108
FLIP 1 515
AND 2 1
FLIP 2 886
OR 1 2
FLIP 2 478
AND 1 2
FLIP 2 630
OR 2 1
OR 1 2
SET 2 508
AND 2 1
FLIP 1 843
FLIP 2 759
AND 2 1
FLIP 1 637
XOR 1 2
OR 2 1
SET 1 928
AND 1 2
AND 2 1
XOR 2 1
AND 1 2
AND 1 2
AND 1 2
OR 2 1
FLIP 1 563
SET 2 292
AND 1 2
FLIP 1 352
SET 1 935
FLIP 2 321
SET 2 619
OR 1 2
OR 2 1
AND 1 2
FLIP 1 227
FLIP 1 215
XOR 1 2
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
FLIP 1 885
XOR 2 1
FLIP 1 154
SET 1 266
SET 2 571
AND 1 2
AND 1 2
OR 1 2
SET 1 330
FLIP 2 924
XOR 2 1
AND 1 2
XOR 2 1
SET 2 325
SET 2 210
XOR 1 2
FLIP 2 575
SET 2 582
FLIP 2 296
OR 1 2
FLIP 2 826
AND 1 2
XOR 2 1
FLIP 1 435
OR 1 2
AND 2 1
SET 2 873
AND 1 2
OR 1 2
XOR 1 2
FLIP 1 405
FLIP 2 452
OR 1 2
XOR 2 1
SET 2 404
OR 2 1
AND 1 2
OR 1 2
OR 1 2
OR 2 1
XOR 1 2
FLIP 1 66
FLIP 1 473
XOR 1 2
FLIP 2 941
XOR 1 2
AND 2 1
AND 2 1
XOR 2 1
AND 2 1
SET 1 925
OR 1 2
SET 1 795
SET 2 79
FLIP 2 357
AND 2 1
XOR 2 1
SET 2 187
AND 2 1
FLIP 1 921
AND 1 2
XOR 1 2
SET 1 668
XOR 2 1
SET 1 426
AND 1 2
SET 2 6
XOR 1 2
FLIP 1 224
OR 2 1
FLIP 1 342
XOR 2 1
FLIP 1 224
OR 1 2
OR 1 2
FLIP 2 938
FLIP 1 727
AND 2 1
OR 2 1
XOR 2 1
SET 1 596
FLIP 2 806
OR 1 2
AND 1 2
SET 2 474
SET 1 602
FLIP 2 133
OR 2 1
FLIP 2 844
XOR 1 2
OR 1 2
OR 2 1
FLIP 2 772
XOR 2 1
XOR 2 1
XOR 1 2
AND 2 1
SET 2 258
SET 1 183
FLIP 2 539
XOR 1 2
AND 2 1
FLIP 1 614
XOR 2 1
OR 2 1
XOR 1 2
XOR 1 2
SET 1 796
SET 1 553
OR 2 1
FLIP 2 200
AND 2 1
AND 2 1
AND 1 2
AND 1 2
AND 2 1
AND 2 1
FLIP 1 824
AND 2 1
AND 2 1
XOR 1 2
AND 2 1
XOR 1 2
FLIP 1 802
SET 2 824
AND 2 1
XOR 2 1
AND 2 1
FLIP 1 302
AND 2 1
SET 1 401
SET 2 172
AND 1 2
XOR 2 1
OR 1 2
OR 1 2
OR 2 1
AND 1 2
FLIP 2 340
XOR 1 2
XOR 1 2
FLIP 2 155
SET 2 389
XOR 1 2
XOR 2 1
OR 1 2
AND 1 2
FLIP 1 104
SET 2 438
FLIP 2 465
AND 2 1
FLIP 2 394
AND 1 2
OR 1 2
OR 1 2
FLIP 2 260
FLIP 1 405
AND 2 1
FLIP 2 397
FLIP 2 836
FLIP 2 719
OR 2 1
FLIP 1 37
FLIP 1 860
SET 1 403
XOR 1 2
XOR 1 2
XOR 1 2
XOR 2 1
AND 1 2
OR 2 1
FLIP 2 608
AND 2 1
FLIP 2 704
OR 2 1
FLIP 2 253
XOR 2 1
SET 1 83
FLIP 1 743
SET 2 192
OR 1 2
FLIP 1 100
OR 2 1
AND 2 1
OR 1 2
FLIP 1 796
AND 2 1
AND 1 2
FLIP 2 695
XOR 1 2
SET 2 756
FLIP 2 883
FLIP 1 182
AND 2 1
XOR 1 2
SET 2 598
AND 2 1
SET 2 678
AND 1 2
XOR 2 1
SET 1 567
SET 2 131
FLIP 1 678
FLIP 1 263
XOR 1 2
SET 2 670
AND 2 1
FLIP 1 244
OR 1 2
SET 1 347
XOR 2 1
SET 1 849
FLIP 2 455
OR 2 1
SET 2 354
AND 2 1
XOR 1 2
AND 2 1
OR 1 2
OR 2 1
AND 1 2
FLIP 1 464
FLIP 2 562
FLIP 1 256
SET 2 840
FLIP 1 396
AND 2 1
SET 1 571
AND 2 1
XOR 1 2
SET 2 400
FLIP 2 341
FLIP 2 119
AND 2 1
SET 1 592
SET 2 438
AND 2 1
AND 2 1
OR 2 1
XOR 1 2
SET 1 474
OR 2 1
AND 1 2
SET 1 203
SET 2 446
SET 1 522
OR 1 2
AND 2 1
SET 1 646
OR 1 2
FLIP 1 230
XOR 1 2
XOR 2 1
SET 1 749
XOR 1 2
XOR 2 1
XOR 1 2
AND 1 2
FLIP 1 751
SET 1 686
OR 1 2
XOR 2 1
XOR 1 2
AND 1 2
AND 1 2
XOR 2 1
SET 2 529
SET 1 795
AND 1 2
AND 2 1
OR 2 1
AND 1 2
XOR 2 1
AND 2 1
XOR 1 2
SET 1 351
AND 2 1
OR 2 1
SET 2 260
OR 2 1
SET 2 309
OR 1 2
